"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
280,11/21/18 12:37:52 PM,,1.14,,,,,
281,11/21/18 12:39:43 PM,,1.15,,,,,
282,11/21/18 12:44:00 PM,,1.16,,,,,
283,11/21/18 12:56:02 PM,,1.17,,,,,
284,11/21/18 12:58:21 PM,,1.18,,,,,
285,11/21/18 01:03:01 PM,,1.19,,,,,
286,11/21/18 01:07:31 PM,54.842,,,,,,
287,11/21/18 01:29:07 PM,,1.20,,,,,
288,11/21/18 01:30:13 PM,,1.21,,,,,
289,11/21/18 01:31:50 PM,,1.22,,,,,
290,11/21/18 01:39:17 PM,,1.23,,,,,
291,11/21/18 01:41:35 PM,,1.24,,,,,
292,11/21/18 01:43:02 PM,,1.25,,,,,
293,11/21/18 01:43:37 PM,,1.26,,,,,
294,11/21/18 01:44:38 PM,,1.27,,,,,
295,11/21/18 01:45:19 PM,,1.28,,,,,
296,11/21/18 01:46:14 PM,,1.29,,,,,
297,11/21/18 01:46:38 PM,,1.30,,,,,
298,11/21/18 01:47:30 PM,,1.31,,,,,
299,11/21/18 01:48:17 PM,,1.32,,,,,
300,11/21/18 01:49:15 PM,,1.33,,,,,
301,11/21/18 01:49:37 PM,,1.34,,,,,
302,11/21/18 01:50:12 PM,,1.35,,,,,
303,11/21/18 01:50:42 PM,,1.36,,,,,
304,11/21/18 01:51:59 PM,,1.37,,,,,
305,11/21/18 01:52:30 PM,,1.38,,,,,
306,11/21/18 01:53:27 PM,,1.39,,,,,
307,11/21/18 01:53:57 PM,,1.40,,,,,
308,11/21/18 01:54:44 PM,,1.41,,,,,
309,11/21/18 01:55:23 PM,,1.42,,,,,
