"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
362,05/11/11 05:06:01 PM,62.940,2.97,,
363,05/11/11 05:06:02 PM,62.940,2.97,,
364,05/11/11 05:06:03 PM,62.940,2.97,,
365,05/11/11 05:06:04 PM,62.940,2.97,,
366,05/11/11 05:06:05 PM,62.940,2.97,,
367,05/11/11 05:06:06 PM,62.940,2.97,,
368,05/11/11 05:06:07 PM,62.940,2.97,,
369,05/11/11 05:06:08 PM,63.111,2.97,,
370,05/11/11 05:06:09 PM,62.940,2.97,,
371,05/11/11 05:06:10 PM,62.940,2.97,,
372,05/11/11 05:06:11 PM,63.111,2.97,,
373,05/11/11 05:06:12 PM,62.940,2.97,,
374,05/11/11 05:06:13 PM,62.940,2.97,,
375,05/11/11 05:06:14 PM,62.940,2.97,,
376,05/11/11 05:06:15 PM,63.111,2.97,,
377,05/11/11 05:06:16 PM,63.111,2.97,,
378,05/11/11 05:06:17 PM,62.940,2.97,,
379,05/11/11 05:06:18 PM,63.111,2.97,,
380,05/11/11 05:06:19 PM,63.111,2.97,,
381,05/11/11 05:06:20 PM,63.111,2.97,,
382,05/11/11 05:06:21 PM,63.111,2.97,,
383,05/11/11 05:06:22 PM,63.111,2.97,,
384,05/11/11 05:06:23 PM,63.111,2.97,,
385,05/11/11 05:06:24 PM,63.111,2.97,,
386,05/11/11 05:06:25 PM,63.111,2.97,,
387,05/11/11 05:06:26 PM,63.111,2.97,,
388,05/11/11 05:06:27 PM,63.111,2.97,,
389,05/11/11 05:06:28 PM,63.111,2.97,,
390,05/11/11 05:06:29 PM,63.111,2.97,,
391,05/11/11 05:06:30 PM,63.111,2.97,,
392,05/11/11 05:06:31 PM,63.111,2.97,,
393,05/11/11 05:06:32 PM,63.111,2.97,,
394,05/11/11 05:06:33 PM,63.111,2.97,,
395,05/11/11 05:06:34 PM,63.111,2.97,,
396,05/11/11 05:06:35 PM,63.111,2.97,,
397,05/11/11 05:06:36 PM,63.111,2.97,,
398,05/11/11 05:06:37 PM,63.111,2.97,,
399,05/11/11 05:06:38 PM,63.111,2.97,,
400,05/11/11 05:06:39 PM,63.111,2.97,,
401,05/11/11 05:06:40 PM,63.111,2.97,,
402,05/11/11 05:06:41 PM,63.111,2.97,,
403,05/11/11 05:06:42 PM,63.111,2.97,,
404,05/11/11 05:06:43 PM,63.111,2.97,,
405,05/11/11 05:06:44 PM,63.111,2.97,,
406,05/11/11 05:06:45 PM,63.111,2.97,,
407,05/11/11 05:06:46 PM,63.111,2.97,,
408,05/11/11 05:06:47 PM,63.111,2.97,,
409,05/11/11 05:06:48 PM,63.111,2.97,,
410,05/11/11 05:06:49 PM,63.111,2.97,,
411,05/11/11 05:06:50 PM,63.111,2.97,,
412,05/11/11 05:06:51 PM,63.111,2.97,,
413,05/11/11 05:06:52 PM,63.111,2.97,,
414,05/11/11 05:06:53 PM,63.111,2.97,,
415,05/11/11 05:06:54 PM,63.111,2.97,,
416,05/11/11 05:06:55 PM,62.940,2.97,,
417,05/11/11 05:06:56 PM,63.111,2.97,,
418,05/11/11 05:06:57 PM,62.940,2.97,,
419,05/11/11 05:06:58 PM,62.940,2.97,,
420,05/11/11 05:06:59 PM,62.940,2.97,,
421,05/11/11 05:07:00 PM,62.940,2.97,,
422,05/11/11 05:07:01 PM,62.940,2.97,,
423,05/11/11 05:07:02 PM,62.940,2.97,,
424,05/11/11 05:07:03 PM,62.940,2.97,,
425,05/11/11 05:07:04 PM,62.940,2.97,,
426,05/11/11 05:07:05 PM,62.940,2.97,,
427,05/11/11 05:07:06 PM,62.940,2.97,,
428,05/11/11 05:07:07 PM,62.940,2.97,,
429,05/11/11 05:07:08 PM,62.940,2.97,,
430,05/11/11 05:07:09 PM,62.940,2.97,,
431,05/11/11 05:07:10 PM,62.940,2.97,,
432,05/11/11 05:07:11 PM,62.940,2.97,,
433,05/11/11 05:07:12 PM,62.940,2.97,,
434,05/11/11 05:07:13 PM,62.940,2.97,,
435,05/11/11 05:07:14 PM,62.940,2.97,,
436,05/11/11 05:07:15 PM,62.940,2.97,,
437,05/11/11 05:07:16 PM,62.940,2.97,,
438,05/11/11 05:07:17 PM,62.940,2.97,,
439,05/11/11 05:07:18 PM,62.940,2.97,,
440,05/11/11 05:07:19 PM,62.940,2.97,,
441,05/11/11 05:07:20 PM,62.940,2.97,,
442,05/11/11 05:07:21 PM,62.769,2.97,,
443,05/11/11 05:07:22 PM,62.769,2.97,,
444,05/11/11 05:07:23 PM,62.769,2.97,,
445,05/11/11 05:07:24 PM,62.940,2.97,,
446,05/11/11 05:07:25 PM,62.769,2.97,,
447,05/11/11 05:07:26 PM,62.769,2.97,,
448,05/11/11 05:07:27 PM,62.769,2.97,,
449,05/11/11 05:07:28 PM,62.769,2.97,,
450,05/11/11 05:07:29 PM,62.769,2.97,,
451,05/11/11 05:07:30 PM,62.769,2.97,,
452,05/11/11 05:07:31 PM,62.769,2.97,,
453,05/11/11 05:07:32 PM,62.769,2.97,,
454,05/11/11 05:07:33 PM,62.769,2.97,,
455,05/11/11 05:07:34 PM,62.769,2.97,,
456,05/11/11 05:07:35 PM,62.769,2.97,,
457,05/11/11 05:07:36 PM,62.769,2.97,,
458,05/11/11 05:07:37 PM,62.769,2.97,,
459,05/11/11 05:07:38 PM,62.769,2.97,,
460,05/11/11 05:07:39 PM,62.769,2.97,,
461,05/11/11 05:07:40 PM,62.769,2.97,,
462,05/11/11 05:07:41 PM,62.769,2.97,,
463,05/11/11 05:07:42 PM,62.769,2.97,,
464,05/11/11 05:07:43 PM,62.769,2.97,,
465,05/11/11 05:07:44 PM,62.769,2.97,,
466,05/11/11 05:07:45 PM,62.769,2.97,,
467,05/11/11 05:07:46 PM,62.769,2.97,,
468,05/11/11 05:07:47 PM,62.769,2.97,,
469,05/11/11 05:07:48 PM,62.769,2.97,,
470,05/11/11 05:07:49 PM,62.769,2.97,,
471,05/11/11 05:07:50 PM,62.769,2.97,,
472,05/11/11 05:07:51 PM,62.769,2.97,,
473,05/11/11 05:07:52 PM,62.769,2.97,,
474,05/11/11 05:07:53 PM,62.598,2.97,,
475,05/11/11 05:07:54 PM,62.598,2.97,,
476,05/11/11 05:07:55 PM,62.598,2.97,,
477,05/11/11 05:07:56 PM,62.598,2.97,,
478,05/11/11 05:07:57 PM,62.598,2.97,,
479,05/11/11 05:07:58 PM,62.598,2.97,,
480,05/11/11 05:07:59 PM,62.598,2.97,,
481,05/11/11 05:08:00 PM,62.598,2.97,,
482,05/11/11 05:08:01 PM,62.598,2.97,,
483,05/11/11 05:08:02 PM,62.598,2.97,,
484,05/11/11 05:08:03 PM,62.598,2.97,,
485,05/11/11 05:08:04 PM,62.598,2.97,,
486,05/11/11 05:08:05 PM,62.598,2.97,,
487,05/11/11 05:08:06 PM,62.598,2.97,,
