"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
266,01/06/16 03:57:48 AM,2.64,,,,
267,01/06/16 04:00:04 AM,2.65,,,,
268,01/06/16 04:02:07 AM,2.66,,,,
269,01/06/16 04:03:22 AM,2.67,,,,
270,01/06/16 04:05:10 AM,2.68,,,,
271,01/06/16 04:07:07 AM,2.69,,,,
272,01/06/16 04:08:50 AM,2.70,,,,
273,01/06/16 04:10:15 AM,2.71,,,,
274,01/06/16 04:12:11 AM,2.72,,,,
275,01/06/16 04:14:10 AM,2.73,,,,
276,01/06/16 04:16:44 AM,2.74,,,,
277,01/06/16 04:19:03 AM,2.75,,,,
278,01/06/16 04:21:45 AM,2.76,,,,
279,01/06/16 04:23:16 AM,2.77,,,,
280,01/06/16 04:25:05 AM,2.78,,,,
281,01/06/16 04:26:43 AM,2.79,,,,
282,01/06/16 04:28:28 AM,2.80,,,,
283,01/06/16 04:29:52 AM,2.81,,,,
284,01/06/16 04:31:45 AM,2.82,,,,
285,01/06/16 04:33:11 AM,2.83,,,,
286,01/06/16 04:34:24 AM,2.84,,,,
287,01/06/16 04:36:14 AM,2.85,,,,
288,01/06/16 04:38:03 AM,2.86,,,,
289,01/06/16 04:39:21 AM,2.87,,,,
290,01/06/16 04:40:41 AM,2.88,,,,
291,01/06/16 04:42:21 AM,2.89,,,,
292,01/06/16 04:43:55 AM,2.90,,,,
293,01/06/16 04:45:36 AM,2.91,,,,
294,01/06/16 04:48:05 AM,2.92,,,,
295,01/06/16 04:50:51 AM,2.93,,,,
296,01/06/16 04:52:26 AM,2.94,,,,
297,01/06/16 04:54:13 AM,2.95,,,,
298,01/06/16 04:56:07 AM,2.96,,,,
299,01/06/16 04:57:12 AM,2.97,,,,
300,01/06/16 04:58:12 AM,2.98,,,,
301,01/06/16 04:58:54 AM,2.99,,,,
302,01/06/16 05:00:14 AM,3.00,,,,
303,01/06/16 05:01:41 AM,3.01,,,,
304,01/06/16 05:02:38 AM,3.02,,,,
305,01/06/16 05:03:57 AM,3.03,,,,
306,01/06/16 05:05:29 AM,3.04,,,,
307,01/06/16 05:06:52 AM,3.05,,,,
308,01/06/16 05:08:46 AM,3.06,,,,
309,01/06/16 05:13:43 AM,3.07,,,,
310,01/06/16 05:17:37 AM,3.08,,,,
311,01/06/16 05:20:27 AM,3.09,,,,
312,01/06/16 05:22:59 AM,3.10,,,,
313,01/06/16 05:27:41 AM,3.11,,,,
314,01/06/16 05:39:26 AM,3.12,,,,
315,01/06/16 05:45:00 AM,3.13,,,,
316,01/06/16 06:51:09 AM,3.14,,,,
317,01/06/16 06:59:17 AM,3.15,,,,
318,01/06/16 07:01:26 AM,3.16,,,,
319,01/06/16 07:03:12 AM,3.17,,,,
320,01/06/16 07:19:20 AM,3.18,,,,
321,01/06/16 07:23:20 AM,3.19,,,,
322,01/06/16 07:27:10 AM,3.20,,,,
323,01/06/16 07:29:13 AM,3.21,,,,
324,01/06/16 07:31:18 AM,3.22,,,,
325,01/06/16 07:36:27 AM,3.23,,,,
326,01/06/16 07:49:34 AM,3.24,,,,
327,01/06/16 07:55:26 AM,3.25,,,,
328,01/06/16 07:58:52 AM,3.26,,,,
329,01/06/16 08:01:14 AM,3.27,,,,
330,01/06/16 08:04:06 AM,3.28,,,,
331,01/06/16 08:06:57 AM,3.29,,,,
332,01/06/16 08:11:06 AM,3.30,,,,
333,01/06/16 08:33:57 AM,3.31,,,,
334,01/06/16 08:46:41 AM,3.32,,,,
335,01/06/16 09:37:59 AM,3.33,,,,
336,01/06/16 09:53:42 AM,3.34,,,,
337,01/06/16 09:59:15 AM,3.35,,,,
338,01/06/16 10:45:04 AM,3.36,,,,
339,01/06/16 10:49:44 AM,3.37,,,,
340,01/06/16 12:49:41 PM,3.38,,,,
341,01/06/16 12:51:02 PM,3.39,,,,
342,01/06/16 03:37:50 PM,3.40,,,,
343,01/06/16 08:51:32 PM,3.41,,,,
344,01/06/16 10:26:46 PM,3.42,,,,
345,01/06/16 10:38:47 PM,3.43,,,,
346,01/06/16 11:07:07 PM,3.44,,,,
347,01/06/16 11:31:43 PM,3.45,,,,
348,01/06/16 11:33:41 PM,3.46,,,,
349,01/07/16 12:03:33 AM,3.47,,,,
350,01/07/16 12:53:15 AM,3.48,,,,
351,01/07/16 01:30:28 AM,3.49,,,,
352,01/07/16 01:44:34 AM,3.50,,,,
353,01/07/16 01:46:59 AM,3.51,,,,
354,01/07/16 01:49:50 AM,3.52,,,,
355,01/07/16 02:09:17 AM,3.53,,,,
356,01/07/16 02:46:51 AM,3.54,,,,
357,01/07/16 02:50:49 AM,3.55,,,,
358,01/07/16 03:10:02 AM,3.56,,,,
359,01/07/16 03:15:00 AM,3.57,,,,
360,01/07/16 03:38:16 AM,3.58,,,,
361,01/07/16 04:18:50 AM,3.59,,,,
362,01/07/16 04:24:35 AM,3.60,,,,
363,01/07/16 04:44:59 AM,3.61,,,,
364,01/07/16 05:13:24 AM,3.62,,,,
365,01/07/16 05:20:49 AM,3.63,,,,
366,01/07/16 05:29:58 AM,3.64,,,,
367,01/07/16 05:35:39 AM,3.65,,,,
368,01/07/16 05:47:08 AM,3.66,,,,
369,01/07/16 11:43:18 AM,3.67,,,,
370,01/07/16 11:46:26 AM,3.68,,,,
371,01/09/16 01:38:27 AM,3.69,,,,
372,01/09/16 03:59:55 AM,3.70,,,,
373,01/09/16 06:44:41 AM,3.71,,,,
374,01/13/16 01:21:15 AM,3.72,,,,
375,01/13/16 01:26:58 AM,3.73,,,,
376,01/13/16 01:30:23 AM,3.74,,,,
377,01/13/16 01:33:39 AM,3.75,,,,
378,01/13/16 01:35:55 AM,3.76,,,,
379,01/13/16 01:37:56 AM,3.77,,,,
380,01/13/16 01:39:50 AM,3.78,,,,
381,01/13/16 01:42:13 AM,3.79,,,,
382,01/13/16 01:44:18 AM,3.80,,,,
383,01/13/16 01:46:11 AM,3.81,,,,
384,01/13/16 01:47:58 AM,3.82,,,,
385,01/13/16 01:48:59 AM,3.83,,,,
386,01/13/16 01:50:08 AM,3.84,,,,
387,01/13/16 01:50:59 AM,3.85,,,,
388,01/13/16 01:51:57 AM,3.86,,,,
389,01/13/16 01:52:39 AM,3.87,,,,
390,01/13/16 01:53:33 AM,3.88,,,,
391,01/13/16 01:54:24 AM,3.89,,,,
392,01/13/16 01:55:07 AM,3.90,,,,
393,01/13/16 01:55:49 AM,3.91,,,,
394,01/13/16 01:57:18 AM,3.92,,,,
395,01/13/16 01:58:19 AM,3.93,,,,
396,01/13/16 01:59:21 AM,3.94,,,,
397,01/13/16 02:00:06 AM,3.95,,,,
398,01/13/16 02:01:20 AM,3.96,,,,
399,01/13/16 02:02:25 AM,3.97,,,,
400,01/13/16 02:03:46 AM,3.98,,,,
401,01/13/16 02:04:46 AM,3.99,,,,
402,01/13/16 02:05:47 AM,4.00,,,,
403,01/13/16 02:06:52 AM,4.01,,,,
404,01/13/16 02:08:16 AM,4.02,,,,
405,01/13/16 02:09:22 AM,4.03,,,,
406,01/13/16 02:11:08 AM,4.04,,,,
407,01/13/16 02:12:55 AM,4.05,,,,
408,01/13/16 02:17:08 AM,4.06,,,,
409,01/13/16 02:20:38 AM,4.07,,,,
410,01/13/16 02:27:26 AM,4.08,,,,
411,01/13/16 02:33:19 AM,4.09,,,,
412,01/13/16 02:41:41 AM,4.10,,,,
413,01/13/16 03:53:51 AM,4.11,,,,
414,01/13/16 03:59:15 AM,4.12,,,,
415,01/13/16 04:12:52 AM,4.13,,,,
416,01/13/16 04:31:51 AM,4.14,,,,
417,01/13/16 05:43:35 AM,4.15,,,,
418,01/13/16 05:54:54 AM,4.16,,,,
419,01/14/16 02:36:58 PM,,,Logged,,
420,01/14/16 02:37:03 PM,4.16,,,Logged,Logged
