"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
433,01/03/12 12:24:36 AM,48.695,,,,
434,01/03/12 12:39:36 AM,48.160,,,,
435,01/03/12 12:54:36 AM,48.160,,,,
436,01/03/12 01:09:36 AM,48.160,,,,
437,01/03/12 01:24:36 AM,48.517,,,,
438,01/03/12 01:39:36 AM,48.695,,,,
439,01/03/12 01:54:36 AM,48.339,,,,
440,01/03/12 02:09:36 AM,48.160,,,,
441,01/03/12 02:24:36 AM,48.695,,,,
442,01/03/12 02:39:36 AM,48.695,,,,
443,01/03/12 02:54:36 AM,48.517,,,,
444,01/03/12 03:09:36 AM,48.871,,,,
445,01/03/12 03:24:36 AM,48.695,,,,
446,01/03/12 03:39:36 AM,48.160,,,,
447,01/03/12 03:54:36 AM,47.446,,,,
448,01/03/12 04:09:36 AM,47.088,,,,
449,01/03/12 04:24:36 AM,47.088,,,,
450,01/03/12 04:39:36 AM,46.369,,,,
451,01/03/12 04:54:36 AM,46.008,,,,
452,01/03/12 05:09:36 AM,46.908,,,,
453,01/03/12 05:24:36 AM,46.188,,,,
454,01/03/12 05:39:36 AM,45.828,,,,
455,01/03/12 05:54:36 AM,46.188,,,,
456,01/03/12 06:09:36 AM,46.908,,,,
457,01/03/12 06:24:36 AM,46.369,,,,
458,01/03/12 06:39:36 AM,46.188,,,,
459,01/03/12 06:54:36 AM,46.008,,,,
460,01/03/12 07:09:36 AM,45.828,,,,
461,01/03/12 07:24:36 AM,46.008,,,,
462,01/03/12 07:39:36 AM,46.188,,,,
463,01/03/12 07:54:36 AM,46.728,,,,
464,01/03/12 08:09:36 AM,46.548,,,,
465,01/03/12 08:24:36 AM,46.908,,,,
466,01/03/12 08:39:36 AM,46.548,,,,
467,01/03/12 08:54:36 AM,46.369,,,,
468,01/03/12 09:09:36 AM,47.266,,,,
469,01/03/12 09:24:36 AM,48.339,,,,
470,01/03/12 09:39:36 AM,49.759,,,,
471,01/03/12 09:54:36 AM,51.172,,,,
472,01/03/12 10:09:36 AM,55.189,,,,
473,01/03/12 10:24:36 AM,57.268,,,,
474,01/03/12 10:39:36 AM,58.647,,,,
475,01/03/12 10:54:36 AM,58.476,,,,
476,01/03/12 11:09:36 AM,60.368,,,,
477,01/03/12 11:24:36 AM,64.481,,,,
478,01/03/12 11:39:36 AM,64.996,,,,
479,01/03/12 11:54:36 AM,67.735,,,,
480,01/03/12 12:09:36 PM,69.793,,,,
481,01/03/12 12:24:36 PM,67.564,,,,
482,01/03/12 12:39:36 PM,65.509,,,,
483,01/03/12 12:54:36 PM,63.797,,,,
484,01/03/12 01:09:36 PM,67.221,,,,
485,01/03/12 01:24:36 PM,69.107,,,,
486,01/03/12 01:29:19 PM,,,Logged,,
487,01/03/12 01:29:30 PM,,0.00000000,,Logged,Logged
