"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
262,03/01/18 11:59:17 PM,,2.01,,,,,
263,03/02/18 12:00:24 AM,,2.02,,,,,
264,03/02/18 12:03:20 AM,,2.03,,,,,
265,03/02/18 12:09:10 AM,,2.04,,,,,
266,03/02/18 12:39:30 AM,45.466,,,,,,
267,03/02/18 01:39:30 AM,44.379,,,,,,
268,03/02/18 02:39:30 AM,43.648,,,,,,
269,03/02/18 03:39:30 AM,42.915,,,,,,
270,03/02/18 04:39:30 AM,42.732,,,,,,
271,03/02/18 05:39:30 AM,41.439,,,,,,
272,03/02/18 06:39:30 AM,41.254,,,,,,
273,03/02/18 07:39:30 AM,41.254,,,,,,
274,03/02/18 08:39:30 AM,44.922,,,,,,
275,03/02/18 09:01:14 AM,,2.05,,,,,
276,03/02/18 09:15:29 AM,,2.06,,,,,
277,03/02/18 09:39:30 AM,46.008,,,,,,
278,03/02/18 10:39:30 AM,50.643,,,,,,
279,03/02/18 11:39:30 AM,57.958,,,,,,
280,03/02/18 12:39:30 PM,52.050,,,,,,
281,03/02/18 12:53:40 PM,,2.07,,,,,
282,03/02/18 01:14:54 PM,,2.08,,,,,
283,03/02/18 01:17:22 PM,,2.09,,,,,
284,03/02/18 01:18:12 PM,,2.10,,,,,
285,03/02/18 01:19:12 PM,,2.11,,,,,
286,03/02/18 01:20:04 PM,,2.12,,,,,
287,03/02/18 01:21:08 PM,,2.13,,,,,
288,03/02/18 01:22:00 PM,,2.14,,,,,
289,03/02/18 01:22:48 PM,,2.15,,,,,
290,03/02/18 01:23:30 PM,,2.16,,,,,
291,03/02/18 01:24:54 PM,,2.17,,,,,
292,03/02/18 01:39:30 PM,47.982,,,,,,
293,03/02/18 02:22:55 PM,,2.18,,,,,
294,03/02/18 02:27:52 PM,,2.19,,,,,
295,03/02/18 02:30:16 PM,,2.20,,,,,
296,03/02/18 02:39:30 PM,48.517,,,,,,
297,03/02/18 03:16:46 PM,,2.21,,,,,
298,03/02/18 03:24:43 PM,,2.22,,,,,
299,03/02/18 03:39:30 PM,46.908,,,,,,
300,03/02/18 04:39:30 PM,47.624,,,,,,
301,03/02/18 05:39:30 PM,46.728,,,,,,
302,03/02/18 06:10:17 PM,,2.23,,,,,
303,03/02/18 06:22:59 PM,,2.24,,,,,
304,03/02/18 06:24:20 PM,,2.25,,,,,
305,03/02/18 06:25:14 PM,,2.26,,,,,
306,03/02/18 06:27:28 PM,,2.27,,,,,
307,03/02/18 06:39:30 PM,44.742,,,,,,
308,03/02/18 06:40:36 PM,,2.28,,,,,
309,03/02/18 07:39:30 PM,43.648,,,,,,
310,03/02/18 08:39:30 PM,44.013,,,,,,
311,03/02/18 09:39:30 PM,43.648,,,,,,
312,03/02/18 10:39:30 PM,43.648,,,,,,
313,03/02/18 11:39:30 PM,42.363,,,,,,
314,03/02/18 11:43:12 PM,,2.29,,,,,
315,03/03/18 12:39:30 AM,41.810,,,,,,
316,03/03/18 01:39:30 AM,40.696,,,,,,
317,03/03/18 02:39:30 AM,40.509,,,,,,
318,03/03/18 02:45:33 AM,,2.30,,,,,
319,03/03/18 02:48:41 AM,,2.31,,,,,
320,03/03/18 02:49:58 AM,,2.32,,,,,
321,03/03/18 02:51:27 AM,,2.33,,,,,
322,03/03/18 02:56:31 AM,,2.34,,,,,
323,03/03/18 02:59:46 AM,,2.35,,,,,
324,03/03/18 03:39:30 AM,39.760,,,,,,
325,03/03/18 04:39:30 AM,38.629,,,,,,
326,03/03/18 05:13:51 AM,,2.36,,,,,
327,03/03/18 05:27:23 AM,,2.37,,,,,
328,03/03/18 05:39:30 AM,38.629,,,,,,
329,03/03/18 06:39:30 AM,38.629,,,,,,
330,03/03/18 07:39:30 AM,39.760,,,,,,
331,03/03/18 08:39:30 AM,42.179,,,,,,
332,03/03/18 09:18:23 AM,,2.38,,,,,
333,03/03/18 09:25:16 AM,,2.39,,,,,
334,03/03/18 09:31:28 AM,,2.40,,,,,
335,03/03/18 09:39:30 AM,44.195,,,,,,
336,03/03/18 10:39:30 AM,47.624,,,,,,
337,03/03/18 11:39:30 AM,53.973,,,,,,
338,03/03/18 12:39:30 PM,73.580,,,,,,
339,03/03/18 01:39:30 PM,49.937,,,,,,
340,03/03/18 01:44:37 PM,,2.41,,,,,
341,03/03/18 01:51:36 PM,,2.42,,,,,
342,03/03/18 01:57:53 PM,,2.43,,,,,
343,03/03/18 02:05:27 PM,,2.44,,,,,
344,03/03/18 02:17:52 PM,,2.45,,,,,
345,03/03/18 02:28:15 PM,,2.46,,,,,
346,03/03/18 02:39:30 PM,46.728,,,,,,
347,03/03/18 03:39:30 PM,45.648,,,,,,
348,03/03/18 04:39:30 PM,46.008,,,,,,
349,03/03/18 05:39:30 PM,45.466,,,,,,
350,03/03/18 06:39:30 PM,41.439,,,,,,
351,03/03/18 07:39:30 PM,39.384,,,,,,
352,03/03/18 08:39:30 PM,38.250,,,,,,
353,03/03/18 09:39:30 PM,37.679,,,,,,
354,03/03/18 10:39:30 PM,37.107,,,,,,
355,03/03/18 11:39:30 PM,37.297,,,,,,
356,03/04/18 12:17:37 AM,,2.47,,,,,
357,03/04/18 12:39:30 AM,37.679,,,,,,
358,03/04/18 12:56:29 AM,,2.48,,,,,
359,03/04/18 01:39:30 AM,38.250,,,,,,
360,03/04/18 02:39:30 AM,37.870,,,,,,
361,03/04/18 03:39:30 AM,37.488,,,,,,
362,03/04/18 04:39:30 AM,36.914,,,,,,
363,03/04/18 05:39:30 AM,36.531,,,,,,
364,03/04/18 06:39:30 AM,36.723,,,,,,
365,03/04/18 07:39:30 AM,37.107,,,,,,
366,03/04/18 08:39:30 AM,39.573,,,,,,
367,03/04/18 09:14:00 AM,,2.49,,,,,
368,03/04/18 09:39:30 AM,44.560,,,,,,
369,03/04/18 10:39:30 AM,49.404,,,,,,
370,03/04/18 11:39:30 AM,59.851,,,,,,
371,03/04/18 12:39:30 PM,70.308,,,,,,
372,03/04/18 01:39:30 PM,55.884,,,,,,
373,03/04/18 02:39:30 PM,53.623,,,,,,
374,03/04/18 03:39:30 PM,55.189,,,,,,
375,03/04/18 04:39:30 PM,49.582,,,,,,
376,03/04/18 05:39:30 PM,46.188,,,,,,
377,03/04/18 06:39:30 PM,43.099,,,,,,
378,03/04/18 07:39:30 PM,40.881,,,,,,
379,03/04/18 08:39:30 PM,40.696,,,,,,
380,03/04/18 09:39:30 PM,40.509,,,,,,
381,03/04/18 10:39:30 PM,40.134,,,,,,
382,03/04/18 11:39:30 PM,39.007,,,,,,
383,03/05/18 12:39:30 AM,37.297,,,,,,
384,03/05/18 01:39:30 AM,35.951,,,,,,
385,03/05/18 02:39:30 AM,36.145,,,,,,
386,03/05/18 03:39:30 AM,36.145,,,,,,
387,03/05/18 04:39:30 AM,35.758,,,,,,
388,03/05/18 05:39:30 AM,35.175,,,,,,
389,03/05/18 06:39:30 AM,34.590,,,,,,
390,03/05/18 07:39:30 AM,34.981,,,,,,
391,03/05/18 08:39:30 AM,38.818,,,,,,
392,03/05/18 09:39:30 AM,43.466,,,,,,
393,03/05/18 10:39:30 AM,48.517,,,,,,
394,03/05/18 11:39:30 AM,69.107,,,,,,
395,03/05/18 12:39:30 PM,89.938,,,,,,
396,03/05/18 01:39:30 PM,60.195,,,,,,
397,03/05/18 02:39:30 PM,60.024,,,,,,
398,03/05/18 03:39:30 PM,60.712,,,,,,
399,03/05/18 04:39:30 PM,55.364,,,,,,
400,03/05/18 05:39:30 PM,51.172,,,,,,
401,03/05/18 06:39:30 PM,47.802,,,,,,
402,03/05/18 07:39:30 PM,46.008,,,,,,
403,03/05/18 08:39:30 PM,45.104,,,,,,
404,03/05/18 09:39:30 PM,44.195,,,,,,
405,03/05/18 10:39:30 PM,43.648,,,,,,
406,03/05/18 11:39:30 PM,43.466,,,,,,
407,03/06/18 12:39:30 AM,43.282,,,,,,
408,03/06/18 01:39:30 AM,43.648,,,,,,
409,03/06/18 02:39:30 AM,43.099,,,,,,
410,03/06/18 03:39:30 AM,42.915,,,,,,
411,03/06/18 04:39:30 AM,42.732,,,,,,
412,03/06/18 05:39:30 AM,42.548,,,,,,
413,03/06/18 06:39:30 AM,42.179,,,,,,
414,03/06/18 07:39:30 AM,43.831,,,,,,
415,03/06/18 08:39:30 AM,47.446,,,,,,
416,03/06/18 09:39:30 AM,52.750,,,,,,
417,03/06/18 10:39:30 AM,58.476,,,,,,
418,03/06/18 11:39:30 AM,81.975,,,,,,
419,03/06/18 12:39:30 PM,95.783,,,,,,
420,03/06/18 01:39:30 PM,69.107,,,,,,
421,03/06/18 02:39:30 PM,67.564,,,,,,
422,03/06/18 03:39:30 PM,66.193,,,,,,
423,03/06/18 04:39:30 PM,60.368,,,,,,
424,03/06/18 05:39:30 PM,55.189,,,,,,
425,03/06/18 06:39:30 PM,51.346,,,,,,
426,03/06/18 07:39:30 PM,48.517,,,,,,
427,03/06/18 08:39:30 PM,47.266,,,,,,
428,03/06/18 09:39:30 PM,47.088,,,,,,
429,03/06/18 10:39:30 PM,47.088,,,,,,
430,03/06/18 11:39:30 PM,47.266,,,,,,
431,03/07/18 12:39:30 AM,47.802,,,,,,
432,03/07/18 01:39:30 AM,48.695,,,,,,
433,03/07/18 02:39:30 AM,49.050,,,,,,
434,03/07/18 03:39:30 AM,49.228,,,,,,
435,03/07/18 04:39:30 AM,48.871,,,,,,
436,03/07/18 05:39:30 AM,49.050,,,,,,
437,03/07/18 06:39:30 AM,49.404,,,,,,
438,03/07/18 07:39:30 AM,49.582,,,,,,
439,03/07/18 08:39:30 AM,52.576,,,,,,
440,03/07/18 09:39:30 AM,57.268,,,,,,
441,03/07/18 10:39:30 AM,63.455,,,,,,
442,03/07/18 11:39:30 AM,86.277,,,,,,
