"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
335,12/02/14 11:34:08 PM,3.34,,,
336,12/02/14 11:36:18 PM,3.35,,,
337,12/02/14 11:37:50 PM,3.36,,,
338,12/02/14 11:40:04 PM,3.37,,,
339,12/02/14 11:42:55 PM,3.38,,,
340,12/02/14 11:42:56 PM,3.39,,,
341,12/02/14 11:48:40 PM,3.40,,,
342,12/02/14 11:51:16 PM,3.41,,,
343,12/02/14 11:52:24 PM,3.42,,,
344,12/02/14 11:54:03 PM,3.43,,,
345,12/02/14 11:55:30 PM,3.44,,,
346,12/02/14 11:56:52 PM,3.45,,,
347,12/02/14 11:58:44 PM,3.46,,,
348,12/02/14 11:59:48 PM,3.47,,,
349,12/03/14 12:01:24 AM,3.48,,,
350,12/03/14 12:02:53 AM,3.49,,,
351,12/03/14 12:04:57 AM,3.50,,,
352,12/03/14 12:07:09 AM,3.51,,,
353,12/03/14 12:10:05 AM,3.52,,,
354,12/03/14 12:11:36 AM,3.53,,,
355,12/03/14 12:13:07 AM,3.54,,,
356,12/03/14 12:14:44 AM,3.55,,,
357,12/03/14 12:17:25 AM,3.56,,,
358,12/03/14 12:17:45 AM,3.57,,,
359,12/03/14 12:17:46 AM,3.58,,,
360,12/03/14 12:18:02 AM,3.59,,,
361,12/03/14 12:18:16 AM,3.60,,,
362,12/03/14 12:18:27 AM,3.61,,,
363,12/03/14 12:18:49 AM,3.62,,,
364,12/03/14 12:19:39 AM,3.63,,,
365,12/03/14 12:21:02 AM,3.64,,,
366,12/03/14 12:22:09 AM,3.65,,,
367,12/03/14 12:23:45 AM,3.66,,,
368,12/03/14 12:25:43 AM,3.67,,,
369,12/03/14 12:26:50 AM,3.68,,,
370,12/03/14 12:26:51 AM,3.69,,,
371,12/03/14 12:28:24 AM,3.70,,,
372,12/03/14 12:30:53 AM,3.71,,,
373,12/03/14 12:32:57 AM,3.72,,,
374,12/03/14 12:34:17 AM,3.73,,,
375,12/03/14 12:34:50 AM,3.74,,,
376,12/03/14 12:35:22 AM,3.75,,,
377,12/03/14 12:36:02 AM,3.76,,,
378,12/03/14 12:36:37 AM,3.77,,,
379,12/03/14 12:37:06 AM,3.78,,,
380,12/03/14 12:37:45 AM,3.79,,,
381,12/03/14 12:38:26 AM,3.80,,,
382,12/03/14 12:38:49 AM,3.81,,,
383,12/03/14 12:39:17 AM,3.82,,,
384,12/03/14 12:39:38 AM,3.83,,,
385,12/03/14 12:40:05 AM,3.84,,,
386,12/03/14 12:40:28 AM,3.85,,,
387,12/03/14 12:40:54 AM,3.86,,,
388,12/03/14 12:41:26 AM,3.87,,,
389,12/03/14 12:41:50 AM,3.88,,,
390,12/03/14 12:42:14 AM,3.89,,,
391,12/03/14 12:42:33 AM,3.90,,,
392,12/03/14 12:42:52 AM,3.91,,,
393,12/03/14 12:43:11 AM,3.92,,,
394,12/03/14 12:43:25 AM,3.93,,,
395,12/03/14 12:43:42 AM,3.94,,,
396,12/03/14 12:43:55 AM,3.95,,,
397,12/03/14 12:44:07 AM,3.96,,,
398,12/03/14 12:44:20 AM,3.97,,,
399,12/03/14 12:44:33 AM,3.98,,,
400,12/03/14 12:44:45 AM,3.99,,,
401,12/03/14 12:44:57 AM,4.00,,,
402,12/03/14 12:45:16 AM,4.01,,,
