"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
283,03/06/19 12:30:00 AM,51.172,,,,,,
284,03/06/19 01:00:00 AM,51.346,,,,,,
285,03/06/19 01:08:26 AM,,1.14,,,,,
286,03/06/19 01:15:07 AM,,1.15,,,,,
287,03/06/19 01:22:02 AM,,1.16,,,,,
288,03/06/19 01:30:00 AM,51.523,,,,,,
289,03/06/19 01:33:12 AM,,1.17,,,,,
290,03/06/19 02:00:00 AM,51.523,,,,,,
291,03/06/19 02:11:24 AM,,1.18,,,,,
292,03/06/19 02:13:32 AM,,1.19,,,,,
293,03/06/19 02:14:11 AM,,1.20,,,,,
294,03/06/19 02:15:04 AM,,1.21,,,,,
295,03/06/19 02:16:47 AM,,1.22,,,,,
296,03/06/19 02:19:31 AM,,1.23,,,,,
297,03/06/19 02:20:30 AM,,1.24,,,,,
298,03/06/19 02:27:26 AM,,1.25,,,,,
299,03/06/19 02:28:49 AM,,1.26,,,,,
300,03/06/19 02:29:48 AM,,1.27,,,,,
301,03/06/19 02:30:00 AM,51.346,,,,,,
302,03/06/19 02:31:20 AM,,1.28,,,,,
303,03/06/19 02:35:27 AM,,1.29,,,,,
304,03/06/19 03:00:00 AM,51.346,,,,,,
305,03/06/19 03:03:25 AM,,1.30,,,,,
306,03/06/19 03:22:01 AM,,1.31,,,,,
307,03/06/19 03:23:36 AM,,1.32,,,,,
308,03/06/19 03:30:00 AM,51.346,,,,,,
309,03/06/19 03:32:21 AM,,1.33,,,,,
310,03/06/19 03:35:41 AM,,1.34,,,,,
311,03/06/19 03:36:30 AM,,1.35,,,,,
312,03/06/19 03:37:42 AM,,1.36,,,,,
313,03/06/19 03:43:41 AM,,1.37,,,,,
314,03/06/19 03:56:26 AM,,1.38,,,,,
315,03/06/19 03:58:17 AM,,1.39,,,,,
316,03/06/19 03:59:15 AM,,1.40,,,,,
317,03/06/19 04:00:00 AM,51.523,,,,,,
318,03/06/19 04:01:21 AM,,1.41,,,,,
319,03/06/19 04:05:37 AM,,1.42,,,,,
320,03/06/19 04:07:45 AM,,1.43,,,,,
321,03/06/19 04:08:11 AM,,1.44,,,,,
322,03/06/19 04:08:58 AM,,1.45,,,,,
323,03/06/19 04:09:35 AM,,1.46,,,,,
324,03/06/19 04:11:05 AM,,1.47,,,,,
325,03/06/19 04:12:19 AM,,1.48,,,,,
326,03/06/19 04:14:36 AM,,1.49,,,,,
327,03/06/19 04:15:53 AM,,1.50,,,,,
328,03/06/19 04:17:02 AM,,1.51,,,,,
329,03/06/19 04:20:59 AM,,1.52,,,,,
330,03/06/19 04:26:34 AM,,1.53,,,,,
331,03/06/19 04:30:00 AM,51.523,,,,,,
332,03/06/19 04:48:47 AM,,1.54,,,,,
333,03/06/19 04:52:04 AM,,1.55,,,,,
334,03/06/19 04:53:14 AM,,1.56,,,,,
335,03/06/19 04:54:07 AM,,1.57,,,,,
336,03/06/19 04:55:50 AM,,1.58,,,,,
337,03/06/19 04:57:28 AM,,1.59,,,,,
338,03/06/19 04:58:28 AM,,1.60,,,,,
339,03/06/19 04:59:16 AM,,1.61,,,,,
340,03/06/19 04:59:31 AM,,1.62,,,,,
341,03/06/19 04:59:58 AM,,1.63,,,,,
342,03/06/19 05:00:00 AM,51.523,,,,,,
343,03/06/19 05:00:21 AM,,1.64,,,,,
344,03/06/19 05:01:08 AM,,1.65,,,,,
345,03/06/19 05:03:35 AM,,1.66,,,,,
346,03/06/19 05:07:06 AM,,1.67,,,,,
347,03/06/19 05:10:24 AM,,1.68,,,,,
348,03/06/19 05:12:47 AM,,1.69,,,,,
349,03/06/19 05:14:46 AM,,1.70,,,,,
350,03/06/19 05:15:44 AM,,1.71,,,,,
351,03/06/19 05:16:24 AM,,1.72,,,,,
352,03/06/19 05:17:00 AM,,1.73,,,,,
353,03/06/19 05:17:39 AM,,1.74,,,,,
354,03/06/19 05:18:43 AM,,1.75,,,,,
355,03/06/19 05:19:40 AM,,1.76,,,,,
356,03/06/19 05:20:16 AM,,1.77,,,,,
357,03/06/19 05:20:59 AM,,1.78,,,,,
358,03/06/19 05:22:00 AM,,1.79,,,,,
359,03/06/19 05:23:10 AM,,1.80,,,,,
360,03/06/19 05:24:28 AM,,1.81,,,,,
361,03/06/19 05:24:55 AM,,1.82,,,,,
362,03/06/19 05:25:27 AM,,1.83,,,,,
363,03/06/19 05:25:43 AM,,1.84,,,,,
364,03/06/19 05:26:02 AM,,1.85,,,,,
365,03/06/19 05:26:24 AM,,1.86,,,,,
366,03/06/19 05:26:57 AM,,1.87,,,,,
367,03/06/19 05:27:44 AM,,1.88,,,,,
368,03/06/19 05:28:37 AM,,1.89,,,,,
369,03/06/19 05:29:08 AM,,1.90,,,,,
370,03/06/19 05:29:52 AM,,1.91,,,,,
371,03/06/19 05:30:00 AM,51.523,,,,,,
372,03/06/19 05:30:28 AM,,1.92,,,,,
373,03/06/19 05:31:37 AM,,1.93,,,,,
374,03/06/19 05:32:35 AM,,1.94,,,,,
375,03/06/19 05:33:49 AM,,1.95,,,,,
376,03/06/19 05:34:32 AM,,1.96,,,,,
377,03/06/19 05:35:32 AM,,1.97,,,,,
378,03/06/19 05:36:11 AM,,1.98,,,,,
379,03/06/19 05:37:19 AM,,1.99,,,,,
380,03/06/19 05:40:17 AM,,2.00,,,,,
381,03/06/19 05:42:58 AM,,2.01,,,,,
382,03/06/19 05:44:16 AM,,2.02,,,,,
383,03/06/19 05:46:02 AM,,2.03,,,,,
384,03/06/19 05:48:52 AM,,2.04,,,,,
385,03/06/19 05:50:31 AM,,2.05,,,,,
386,03/06/19 05:52:41 AM,,2.06,,,,,
387,03/06/19 06:00:00 AM,51.699,,,,,,
388,03/06/19 06:04:55 AM,,2.07,,,,,
389,03/06/19 06:07:32 AM,,2.08,,,,,
390,03/06/19 06:12:26 AM,,2.09,,,,,
391,03/06/19 06:14:24 AM,,2.10,,,,,
392,03/06/19 06:15:05 AM,,2.11,,,,,
393,03/06/19 06:15:25 AM,,2.12,,,,,
394,03/06/19 06:16:09 AM,,2.13,,,,,
395,03/06/19 06:18:33 AM,,2.14,,,,,
396,03/06/19 06:30:00 AM,51.874,,,,,,
397,03/06/19 07:00:00 AM,52.576,,,,,,
398,03/06/19 07:23:28 AM,,2.15,,,,,
399,03/06/19 07:30:00 AM,52.925,,,,,,
400,03/06/19 07:44:11 AM,,2.16,,,,,
401,03/06/19 07:47:49 AM,,2.17,,,,,
402,03/06/19 07:49:03 AM,,2.18,,,,,
403,03/06/19 07:49:52 AM,,2.19,,,,,
404,03/06/19 07:50:08 AM,,2.20,,,,,
405,03/06/19 07:50:23 AM,,2.21,,,,,
406,03/06/19 07:50:39 AM,,2.22,,,,,
407,03/06/19 07:51:37 AM,,2.23,,,,,
408,03/06/19 07:59:22 AM,,2.24,,,,,
409,03/06/19 08:00:00 AM,53.100,,,,,,
410,03/06/19 08:09:53 AM,,2.25,,,,,
411,03/06/19 08:30:00 AM,53.274,,,,,,
412,03/06/19 09:00:00 AM,53.449,,,,,,
413,03/06/19 09:30:00 AM,53.100,,,,,,
414,03/06/19 10:00:00 AM,53.449,,,,,,
415,03/06/19 10:30:00 AM,53.274,,,,,,
416,03/06/19 11:00:00 AM,52.925,,,,,,
417,03/06/19 11:01:58 AM,,2.26,,,,,
418,03/06/19 11:04:13 AM,,2.27,,,,,
419,03/06/19 11:06:34 AM,,2.28,,,,,
