Serial Number:      10024     --     Series: Event (rain bucket tip)			

Date Time	Event (Events)	Tip Value	Cumulative
12/18/2010 4:29:26	1.64	0.01	4.08
12/18/2010 4:32:15	1.65	0.01	4.09
12/18/2010 4:35:30	1.66	0.01	4.1
12/18/2010 4:38:14	1.67	0.01	4.11
12/18/2010 4:42:15	1.68	0.01	4.12
12/18/2010 4:43:43	1.69	0.01	4.13
12/18/2010 4:45:39	1.7	0.01	4.14
12/18/2010 4:49:12	1.71	0.01	4.15
12/18/2010 4:52:26	1.72	0.01	4.16
12/18/2010 4:53:36	1.73	0.01	4.17
12/18/2010 4:54:16	1.74	0.01	4.18
12/18/2010 4:55:11	1.75	0.01	4.19
12/18/2010 4:57:29	1.76	0.01	4.2
12/18/2010 5:01:39	1.77	0.01	4.21
12/18/2010 5:05:16	1.78	0.01	4.22
12/18/2010 5:08:17	1.79	0.01	4.23
12/18/2010 5:10:08	1.8	0.01	4.24
12/18/2010 5:11:18	1.81	0.01	4.25
12/18/2010 5:16:23	1.82	0.01	4.26
12/18/2010 5:20:19	1.83	0.01	4.27
12/18/2010 5:25:21	1.84	0.01	4.28
12/18/2010 5:31:43	1.85	0.01	4.29
12/18/2010 5:37:28	1.86	0.01	4.3
12/18/2010 5:39:48	1.87	0.01	4.31
12/18/2010 5:41:56	1.88	0.01	4.32
12/18/2010 5:43:48	1.89	0.01	4.33
12/18/2010 5:47:15	1.9	0.01	4.34
12/18/2010 10:00:43	1.91	0.01	4.35
12/18/2010 11:12:41	1.92	0.01	4.36
12/18/2010 11:34:23	1.93	0.01	4.37
12/18/2010 12:01:51	1.94	0.01	4.38
12/18/2010 12:12:56	1.95	0.01	4.39
12/18/2010 12:22:24	1.96	0.01	4.4
12/18/2010 12:32:44	1.97	0.01	4.41
12/18/2010 12:37:32	1.98	0.01	4.42
12/18/2010 12:40:54	1.99	0.01	4.43
12/18/2010 12:43:39	2	0.01	4.44
12/18/2010 12:55:55	2.01	0.01	4.45
12/18/2010 13:31:28	2.02	0.01	4.46
12/18/2010 13:40:28	2.03	0.01	4.47
12/18/2010 13:47:59	2.04	0.01	4.48
12/18/2010 13:51:32	2.05	0.01	4.49
12/18/2010 13:52:47	2.06	0.01	4.5
12/18/2010 13:54:55	2.07	0.01	4.51
12/18/2010 13:58:43	2.08	0.01	4.52
12/18/2010 14:04:39	2.09	0.01	4.53
12/18/2010 14:09:18	2.1	0.01	4.54
12/18/2010 14:42:10	2.11	0.01	4.55
12/18/2010 14:56:33	2.12	0.01	4.56
12/18/2010 15:08:01	2.13	0.01	4.57
12/18/2010 15:22:17	2.14	0.01	4.58
12/18/2010 15:27:04	2.15	0.01	4.59
12/18/2010 15:31:20	2.16	0.01	4.6
12/18/2010 15:33:31	2.17	0.01	4.61
12/18/2010 15:37:02	2.18	0.01	4.62
12/18/2010 15:46:24	2.19	0.01	4.63
12/18/2010 16:22:21	2.2	0.01	4.64
12/18/2010 16:37:53	2.21	0.01	4.65
12/18/2010 16:40:17	2.22	0.01	4.66
12/18/2010 16:41:34	2.23	0.01	4.67
12/18/2010 16:44:30	2.24	0.01	4.68
12/18/2010 16:48:16	2.25	0.01	4.69
12/18/2010 16:53:41	2.26	0.01	4.7
12/18/2010 16:59:00	2.27	0.01	4.71
12/18/2010 17:12:22	2.28	0.01	4.72
12/18/2010 17:36:48	2.29	0.01	4.73
12/18/2010 17:42:10	2.3	0.01	4.74
12/18/2010 17:45:33	2.31	0.01	4.75
12/18/2010 17:47:43	2.32	0.01	4.76
12/18/2010 17:49:02	2.33	0.01	4.77
12/18/2010 17:50:22	2.34	0.01	4.78
12/18/2010 17:52:29	2.35	0.01	4.79
12/18/2010 17:55:05	2.36	0.01	4.8
12/18/2010 17:56:53	2.37	0.01	4.81
12/18/2010 18:02:04	2.38	0.01	4.82
12/18/2010 18:05:17	2.39	0.01	4.83
12/18/2010 18:06:55	2.4	0.01	4.84
12/18/2010 18:08:14	2.41	0.01	4.85
12/18/2010 18:09:51	2.42	0.01	4.86
12/18/2010 18:12:29	2.43	0.01	4.87
12/18/2010 18:15:27	2.44	0.01	4.88
12/18/2010 18:17:57	2.45	0.01	4.89
12/18/2010 18:20:14	2.46	0.01	4.9
12/18/2010 18:22:52	2.47	0.01	4.91
12/18/2010 18:27:05	2.48	0.01	4.92
12/18/2010 18:32:33	2.49	0.01	4.93
12/18/2010 18:37:54	2.5	0.01	4.94
12/18/2010 18:41:15	2.51	0.01	4.95
12/18/2010 18:43:19	2.52	0.01	4.96
12/18/2010 18:45:10	2.53	0.01	4.97
12/18/2010 18:47:10	2.54	0.01	4.98
12/18/2010 18:49:13	2.55	0.01	4.99
12/18/2010 18:51:00	2.56	0.01	5
12/18/2010 18:54:25	2.57	0.01	5.01
12/18/2010 19:00:04	2.58	0.01	5.02
12/18/2010 19:16:31	2.59	0.01	5.03
12/18/2010 21:37:03	2.6	0.01	5.04
12/18/2010 22:16:39	2.61	0.01	5.05
12/18/2010 23:53:44	2.62	0.01	5.06
12/19/2010 0:14:11	2.63	0.01	5.07
12/19/2010 0:41:09	2.64	0.01	5.08
12/19/2010 0:47:19	2.65	0.01	5.09
12/19/2010 0:51:45	2.66	0.01	5.1
12/19/2010 0:55:46	2.67	0.01	5.11
12/19/2010 0:59:04	2.68	0.01	5.12
12/19/2010 1:02:23	2.69	0.01	5.13
12/19/2010 1:07:20	2.7	0.01	5.14
12/19/2010 1:12:21	2.71	0.01	5.15
12/19/2010 1:17:17	2.72	0.01	5.16
12/19/2010 1:20:19	2.73	0.01	5.17
12/19/2010 1:22:32	2.74	0.01	5.18
12/19/2010 1:25:33	2.75	0.01	5.19
12/19/2010 1:28:24	2.76	0.01	5.2
12/19/2010 1:32:04	2.77	0.01	5.21
12/19/2010 1:35:00	2.78	0.01	5.22
12/19/2010 1:36:41	2.79	0.01	5.23
12/19/2010 1:38:31	2.8	0.01	5.24
12/19/2010 1:40:11	2.81	0.01	5.25
12/19/2010 1:42:17	2.82	0.01	5.26
12/19/2010 1:44:18	2.83	0.01	5.27
12/19/2010 1:46:37	2.84	0.01	5.28
12/19/2010 1:49:12	2.85	0.01	5.29
12/19/2010 1:51:29	2.86	0.01	5.3
12/19/2010 1:54:13	2.87	0.01	5.31
12/19/2010 1:56:55	2.88	0.01	5.32
12/19/2010 1:59:56	2.89	0.01	5.33
12/19/2010 2:02:19	2.9	0.01	5.34
12/19/2010 2:05:41	2.91	0.01	5.35
12/19/2010 2:09:04	2.92	0.01	5.36
12/19/2010 2:14:22	2.93	0.01	5.37
12/19/2010 2:17:53	2.94	0.01	5.38
12/19/2010 2:21:43	2.95	0.01	5.39
12/19/2010 2:27:30	2.96	0.01	5.4
12/19/2010 2:32:17	2.97	0.01	5.41
12/19/2010 2:36:36	2.98	0.01	5.42
12/19/2010 2:40:56	2.99	0.01	5.43
